Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","12,269.25","12,283.70","12,202.10","12,214.55","-48.20","-0.39","4,702.94","13,864.37","12,293.90","10,583.65","14.55","1.17"
"YESBANK","50.15","52.00","50.05","51.15","1.50","3.02","2,427.80","1,241.33","286.00","29.00","-71.94","-19.76"
"CIPLA","467.25","480.00","465.50","477.20","9.35","2.00","32.63","154.68","586.00","389.55","-8.02","-1.30"
"INDUSINDBK","1,495.00","1,532.00","1,495.00","1,516.00","19.70","1.32","44.89","683.85","1,834.40","1,188.05","-2.97","1.28"
"JSWSTEEL","263.70","267.80","262.95","266.75","3.05","1.16","56.83","151.29","314.00","201.75","-8.71","2.54"
"ONGC","124.90","126.60","124.70","125.60","0.95","0.76","99.80","125.76","178.90","115.55","-15.08","-4.09"
"HEROMOTOCO","2,419.95","2,448.55","2,419.05","2,433.75","13.65","0.56","11.73","286.16","3,301.00","2,225.60","-23.19","-1.83"
"INFRATEL","255.00","257.80","252.50","256.00","1.40","0.55","51.22","130.93","335.00","176.35","-2.49","2.34"
"ZEEL","294.30","303.25","293.45","296.30","1.50","0.51","210.73","630.22","488.95","199.15","-32.16","-13.82"
"COALINDIA","197.80","199.70","197.40","198.20","0.95","0.48","31.14","61.85","271.45","177.70","-20.18","-1.25"
"KOTAKBANK","1,704.95","1,716.50","1,700.00","1,712.80","7.90","0.46","17.03","291.12","1,734.80","1,198.00","38.30","6.81"
"ADANIPORTS","368.00","372.00","366.00","368.50","1.60","0.44","29.49","108.78","430.60","292.10","2.05","-1.65"
"HINDALCO","218.25","218.30","215.15","216.00","0.85","0.40","77.83","168.49","228.50","171.10","-0.85","8.41"
"POWERGRID","186.45","187.40","185.50","186.55","0.75","0.40","21.09","39.38","216.25","172.50","-3.82","-6.07"
"BHARTIARTL","454.50","460.00","452.40","456.50","1.70","0.37","68.45","312.67","485.60","268.67","47.69","1.13"
"NESTLEIND","14,580.00","14,623.25","14,461.85","14,582.00","49.50","0.34","0.40","57.79","15,146.90","10,031.65","33.49","0.66"
"NTPC","114.50","115.80","114.50","114.95","0.35","0.31","79.30","91.33","145.85","106.67","-21.48","-2.67"
"M&M","529.00","532.65","526.20","527.50","1.60","0.30","23.72","125.52","810.00","502.55","-33.11","-3.71"
"ULTRACEMCO","4,115.00","4,123.00","4,073.55","4,092.50","10.60","0.26","2.32","94.91","4,904.95","3,332.45","4.48","-0.51"
"IOC","127.00","128.60","126.20","126.75","0.30","0.24","62.56","79.84","170.75","116.25","-6.15","-3.13"
"TATASTEEL","462.20","464.70","459.40","463.10","0.95","0.21","112.36","519.74","561.65","320.35","-9.85","10.39"
"SUNPHARMA","428.00","432.45","425.40","429.15","0.75","0.18","42.10","180.79","484.25","344.55","1.13","-6.49"
"BAJAJ-AUTO","3,220.00","3,235.00","3,210.00","3,223.70","4.20","0.13","1.73","55.78","3,289.00","2,442.20","18.32","0.88"
"ICICIBANK","542.00","543.95","539.30","541.85","0.55","0.10","67.15","363.53","549.50","336.15","53.61","8.85"
"VEDL","148.35","149.40","147.20","147.80","0.05","0.03","107.66","159.76","203.60","125.30","-24.75","1.13"
"BAJAJFINSV","9,290.05","9,327.90","9,252.30","9,302.10","-1.95","-0.02","1.00","93.15","9,421.00","5,855.00","48.25","1.39"
"ITC","239.00","240.20","238.20","238.75","-0.15","-0.06","78.96","188.77","310.00","234.05","-13.50","-3.63"
"BRITANNIA","3,096.00","3,114.45","3,084.00","3,089.00","-2.80","-0.09","1.67","51.67","3,583.75","2,300.00","-0.37","1.59"
"SBIN","333.20","334.20","329.20","331.95","-0.45","-0.14","217.48","720.61","373.80","244.35","13.27","-1.23"
"HINDUNILVR","1,952.00","1,964.80","1,940.40","1,946.50","-3.90","-0.20","7.91","154.36","2,190.00","1,650.00","9.07","-5.62"
"INFY","736.95","736.95","728.30","734.25","-1.75","-0.24","28.91","211.82","847.00","615.10","13.14","5.18"
"TITAN","1,206.05","1,222.00","1,200.65","1,205.00","-4.10","-0.34","22.37","271.33","1,389.95","868.20","36.96","3.56"
"ASIANPAINT","1,812.00","1,826.00","1,799.05","1,800.85","-6.70","-0.37","8.97","162.51","1,834.80","1,291.25","32.70","5.27"
"TATAMOTORS","177.65","178.00","174.65","175.40","-0.65","-0.37","205.60","362.11","239.35","106.00","1.68","5.60"
