*ERROR* 	2016/11/05 - 20:35:54: -------------PaymentModule---------------
*ERROR* 	2016/11/05 - 20:35:54: id_cart==>965
*ERROR* 	2016/11/05 - 20:35:54: id_order_state_pm==>22
*ERROR* 	2016/11/05 - 20:35:54: -------------END---------------
*ERROR* 	2016/11/05 - 20:38:20: -------------PaymentModule---------------
*ERROR* 	2016/11/05 - 20:38:20: id_cart==>966
*ERROR* 	2016/11/05 - 20:38:20: id_order_state_pm==>22
*ERROR* 	2016/11/05 - 20:38:20: -------------END---------------
*ERROR* 	2016/11/05 - 21:01:15: -------------PaymentModule---------------
*ERROR* 	2016/11/05 - 21:01:15: id_cart==>967
*ERROR* 	2016/11/05 - 21:01:15: id_order_state_pm==>22
*ERROR* 	2016/11/05 - 21:01:15: -------------END---------------
*ERROR* 	2016/11/10 - 12:30:29: -------------PaymentModule---------------
*ERROR* 	2016/11/10 - 12:30:29: id_cart==>973
*ERROR* 	2016/11/10 - 12:30:29: id_order_state_pm==>28
*ERROR* 	2016/11/10 - 12:30:29: -------------END---------------
*ERROR* 	2016/11/18 - 16:15:05: -------------OrderHistory---------------
*ERROR* 	2016/11/18 - 16:15:05: id_employee==>2
*ERROR* 	2016/11/18 - 16:15:05: id_order==>633
*ERROR* 	2016/11/18 - 16:15:05: id_customer==>
*ERROR* 	2016/11/18 - 16:15:05: payment_type==>
*ERROR* 	2016/11/18 - 16:15:05: new_order_state==>39
*ERROR* 	2016/11/18 - 16:15:05: -------------END---------------
*ERROR* 	2017/07/18 - 02:01:30: -------------OrderHistory---------------
*ERROR* 	2017/07/18 - 02:01:30: id_employee==>2
*ERROR* 	2017/07/18 - 02:01:30: id_order==>635
*ERROR* 	2017/07/18 - 02:01:30: id_customer==>
*ERROR* 	2017/07/18 - 02:01:30: payment_type==>
*ERROR* 	2017/07/18 - 02:01:30: new_order_state==>40
*ERROR* 	2017/07/18 - 02:01:30: -------------END---------------
*ERROR* 	2018/07/15 - 16:30:27: -------------PaymentModule---------------
*ERROR* 	2018/07/15 - 16:30:27: id_cart==>1238
*ERROR* 	2018/07/15 - 16:30:27: id_order_state_pm==>22
*ERROR* 	2018/07/15 - 16:30:27: -------------END---------------
*ERROR* 	2018/07/15 - 16:31:22: -------------PaymentModule---------------
*ERROR* 	2018/07/15 - 16:31:22: id_cart==>0
*ERROR* 	2018/07/15 - 16:31:22: id_order_state_pm==>22
*ERROR* 	2018/07/15 - 16:31:22: -------------END---------------
*ERROR* 	2019/04/13 - 16:13:30: -------------PaymentModule---------------
*ERROR* 	2019/04/13 - 16:13:30: id_cart==>1292
*ERROR* 	2019/04/13 - 16:13:30: id_order_state_pm==>22
*ERROR* 	2019/04/13 - 16:13:30: -------------END---------------
*ERROR* 	2019/04/13 - 16:55:10: -------------PaymentModule---------------
*ERROR* 	2019/04/13 - 16:55:10: id_cart==>1292
*ERROR* 	2019/04/13 - 16:55:10: id_order_state_pm==>22
*ERROR* 	2019/04/13 - 16:55:10: -------------END---------------
*ERROR* 	2019/04/13 - 17:06:15: -------------PaymentModule---------------
*ERROR* 	2019/04/13 - 17:06:15: id_cart==>1292
*ERROR* 	2019/04/13 - 17:06:15: id_order_state_pm==>22
*ERROR* 	2019/04/13 - 17:06:15: -------------END---------------
*ERROR* 	2019/10/04 - 12:25:15: -------------PaymentModule---------------
*ERROR* 	2019/10/04 - 12:25:15: id_cart==>1304
*ERROR* 	2019/10/04 - 12:25:15: id_order_state_pm==>22
*ERROR* 	2019/10/04 - 12:25:15: -------------END---------------
*ERROR* 	2019/10/30 - 20:53:22: -------------PaymentModule---------------
*ERROR* 	2019/10/30 - 20:53:22: id_cart==>1574
*ERROR* 	2019/10/30 - 20:53:22: id_order_state_pm==>22
*ERROR* 	2019/10/30 - 20:53:22: -------------END---------------
*ERROR* 	2019/10/30 - 22:37:55: -------------PaymentModule---------------
*ERROR* 	2019/10/30 - 22:37:55: id_cart==>1575
*ERROR* 	2019/10/30 - 22:37:55: id_order_state_pm==>22
*ERROR* 	2019/10/30 - 22:37:55: -------------END---------------
*ERROR* 	2019/10/30 - 22:42:21: -------------PaymentModule---------------
*ERROR* 	2019/10/30 - 22:42:21: id_cart==>1576
*ERROR* 	2019/10/30 - 22:42:21: id_order_state_pm==>22
*ERROR* 	2019/10/30 - 22:42:21: -------------END---------------
*ERROR* 	2019/10/31 - 00:45:15: -------------PaymentModule---------------
*ERROR* 	2019/10/31 - 00:45:15: id_cart==>1303
*ERROR* 	2019/10/31 - 00:45:15: id_order_state_pm==>22
*ERROR* 	2019/10/31 - 00:45:15: -------------END---------------
*ERROR* 	2019/10/31 - 00:46:25: -------------PaymentModule---------------
*ERROR* 	2019/10/31 - 00:46:25: id_cart==>1577
*ERROR* 	2019/10/31 - 00:46:25: id_order_state_pm==>22
*ERROR* 	2019/10/31 - 00:46:25: -------------END---------------
*ERROR* 	2019/10/31 - 00:53:40: -------------PaymentModule---------------
*ERROR* 	2019/10/31 - 00:53:40: id_cart==>1579
*ERROR* 	2019/10/31 - 00:53:40: id_order_state_pm==>22
*ERROR* 	2019/10/31 - 00:53:40: -------------END---------------
*ERROR* 	2019/10/31 - 00:53:40: -------------PaymentModule---------------
*ERROR* 	2019/10/31 - 00:53:40: id_cart==>1578
*ERROR* 	2019/10/31 - 00:53:40: id_order_state_pm==>22
*ERROR* 	2019/10/31 - 00:53:40: -------------END---------------
*ERROR* 	2019/10/31 - 16:05:41: -------------PaymentModule---------------
*ERROR* 	2019/10/31 - 16:05:41: id_cart==>1586
*ERROR* 	2019/10/31 - 16:05:41: id_order_state_pm==>22
*ERROR* 	2019/10/31 - 16:05:41: -------------END---------------
*ERROR* 	2019/10/31 - 16:10:37: -------------PaymentModule---------------
*ERROR* 	2019/10/31 - 16:10:37: id_cart==>1587
*ERROR* 	2019/10/31 - 16:10:37: -------------PaymentModule---------------
*ERROR* 	2019/10/31 - 16:10:37: id_cart==>1588
*ERROR* 	2019/10/31 - 16:10:37: id_order_state_pm==>22
*ERROR* 	2019/10/31 - 16:10:37: id_order_state_pm==>22
*ERROR* 	2019/10/31 - 16:10:37: -------------END---------------
*ERROR* 	2019/10/31 - 16:10:37: -------------END---------------
*ERROR* 	2019/11/06 - 20:09:24: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:09:24: id_cart==>1589
*ERROR* 	2019/11/06 - 20:09:24: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:09:24: -------------END---------------
*ERROR* 	2019/11/06 - 20:10:08: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:10:08: id_cart==>1590
*ERROR* 	2019/11/06 - 20:10:08: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:10:08: -------------END---------------
*ERROR* 	2019/11/06 - 20:10:53: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:10:53: id_cart==>1591
*ERROR* 	2019/11/06 - 20:10:53: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:10:53: -------------END---------------
*ERROR* 	2019/11/06 - 20:11:42: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:11:42: id_cart==>1592
*ERROR* 	2019/11/06 - 20:11:42: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:11:42: -------------END---------------
*ERROR* 	2019/11/06 - 20:12:17: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:12:17: id_cart==>1593
*ERROR* 	2019/11/06 - 20:12:17: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:12:17: -------------END---------------
*ERROR* 	2019/11/06 - 20:12:49: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:12:49: id_cart==>1594
*ERROR* 	2019/11/06 - 20:12:49: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:12:49: -------------END---------------
*ERROR* 	2019/11/06 - 20:13:39: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:13:39: id_cart==>1595
*ERROR* 	2019/11/06 - 20:13:39: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:13:39: -------------END---------------
*ERROR* 	2019/11/06 - 20:14:25: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:14:25: id_cart==>1596
*ERROR* 	2019/11/06 - 20:14:25: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:14:25: -------------END---------------
*ERROR* 	2019/11/06 - 20:15:31: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:15:31: id_cart==>1597
*ERROR* 	2019/11/06 - 20:15:31: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:15:31: -------------END---------------
*ERROR* 	2019/11/06 - 20:16:35: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:16:35: id_cart==>1598
*ERROR* 	2019/11/06 - 20:16:35: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:16:35: -------------END---------------
*ERROR* 	2019/11/06 - 20:17:16: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:17:16: id_cart==>1599
*ERROR* 	2019/11/06 - 20:17:16: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:17:16: -------------END---------------
*ERROR* 	2019/11/06 - 20:17:55: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:17:55: id_cart==>1600
*ERROR* 	2019/11/06 - 20:17:55: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:17:55: -------------END---------------
*ERROR* 	2019/11/06 - 20:18:42: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:18:42: id_cart==>1601
*ERROR* 	2019/11/06 - 20:18:42: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:18:42: -------------END---------------
*ERROR* 	2019/11/06 - 20:20:14: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:20:14: id_cart==>1602
*ERROR* 	2019/11/06 - 20:20:14: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:20:14: -------------END---------------
*ERROR* 	2019/11/06 - 20:22:00: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:22:00: id_cart==>1603
*ERROR* 	2019/11/06 - 20:22:00: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:22:00: -------------END---------------
*ERROR* 	2019/11/06 - 20:49:14: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:49:14: id_cart==>1604
*ERROR* 	2019/11/06 - 20:49:14: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:49:14: -------------END---------------
*ERROR* 	2019/11/06 - 20:54:29: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 20:54:29: id_cart==>1605
*ERROR* 	2019/11/06 - 20:54:29: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 20:54:29: -------------END---------------
*ERROR* 	2019/11/06 - 21:04:04: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 21:04:04: id_cart==>1606
*ERROR* 	2019/11/06 - 21:04:04: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 21:04:04: -------------END---------------
*ERROR* 	2019/11/06 - 21:07:07: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 21:07:07: id_cart==>1607
*ERROR* 	2019/11/06 - 21:07:07: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 21:07:07: -------------END---------------
*ERROR* 	2019/11/06 - 21:08:30: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 21:08:30: id_cart==>1608
*ERROR* 	2019/11/06 - 21:08:30: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 21:08:30: -------------END---------------
*ERROR* 	2019/11/06 - 21:10:36: -------------PaymentModule---------------
*ERROR* 	2019/11/06 - 21:10:36: id_cart==>1609
*ERROR* 	2019/11/06 - 21:10:36: id_order_state_pm==>22
*ERROR* 	2019/11/06 - 21:10:36: -------------END---------------
*ERROR* 	2019/11/07 - 10:30:39: -------------PaymentModule---------------
*ERROR* 	2019/11/07 - 10:30:39: id_cart==>1610
*ERROR* 	2019/11/07 - 10:30:39: id_order_state_pm==>22
*ERROR* 	2019/11/07 - 10:30:39: -------------END---------------
*ERROR* 	2019/11/07 - 11:02:32: -------------PaymentModule---------------
*ERROR* 	2019/11/07 - 11:02:32: id_cart==>1611
*ERROR* 	2019/11/07 - 11:02:32: id_order_state_pm==>22
*ERROR* 	2019/11/07 - 11:02:32: -------------END---------------
*ERROR* 	2019/11/07 - 11:05:12: -------------PaymentModule---------------
*ERROR* 	2019/11/07 - 11:05:12: id_cart==>1612
*ERROR* 	2019/11/07 - 11:05:12: id_order_state_pm==>22
*ERROR* 	2019/11/07 - 11:05:12: -------------END---------------
*ERROR* 	2019/11/07 - 11:08:34: -------------PaymentModule---------------
*ERROR* 	2019/11/07 - 11:08:34: id_cart==>1613
*ERROR* 	2019/11/07 - 11:08:34: id_order_state_pm==>22
*ERROR* 	2019/11/07 - 11:08:34: -------------END---------------
*ERROR* 	2019/11/07 - 11:36:38: -------------PaymentModule---------------
*ERROR* 	2019/11/07 - 11:36:38: id_cart==>1615
*ERROR* 	2019/11/07 - 11:36:38: id_order_state_pm==>22
*ERROR* 	2019/11/07 - 11:36:38: id_order_state_pm==>22
*ERROR* 	2019/11/07 - 11:36:38: -------------END---------------
*ERROR* 	2019/11/07 - 11:53:57: -------------PaymentModule---------------
*ERROR* 	2019/11/07 - 11:53:57: id_cart==>1617
*ERROR* 	2019/11/07 - 11:53:57: id_order_state_pm==>22
*ERROR* 	2019/11/07 - 11:53:57: -------------END---------------
*ERROR* 	2019/11/07 - 11:53:57: -------------END---------------
*ERROR* 	2019/11/07 - 13:11:43: -------------PaymentModule---------------
*ERROR* 	2019/11/07 - 13:11:43: id_cart==>1618
*ERROR* 	2019/11/07 - 13:11:43: id_cart==>1619
*ERROR* 	2019/11/07 - 13:11:43: id_order_state_pm==>22
*ERROR* 	2019/11/07 - 13:11:43: -------------END---------------
*ERROR* 	2019/11/08 - 01:20:54: -------------PaymentModule---------------
*ERROR* 	2019/11/08 - 01:20:54: id_cart==>1620
*ERROR* 	2019/11/08 - 01:20:54: id_order_state_pm==>22
*ERROR* 	2019/11/08 - 01:20:54: -------------END---------------
*ERROR* 	2019/11/08 - 01:57:13: -------------PaymentModule---------------
*ERROR* 	2019/11/08 - 01:57:13: id_cart==>1621
*ERROR* 	2019/11/08 - 01:57:13: id_order_state_pm==>22
*ERROR* 	2019/11/08 - 01:57:13: -------------END---------------
*ERROR* 	2019/11/08 - 15:36:01: -------------PaymentModule---------------
*ERROR* 	2019/11/08 - 15:36:01: id_cart==>1622
*ERROR* 	2019/11/08 - 15:36:01: id_order_state_pm==>22
*ERROR* 	2019/11/08 - 15:36:01: -------------END---------------
*ERROR* 	2019/11/09 - 00:00:01: -------------PaymentModule---------------
*ERROR* 	2019/11/09 - 00:00:02: id_cart==>1623
*ERROR* 	2019/11/09 - 00:00:02: id_order_state_pm==>22
*ERROR* 	2019/11/09 - 00:00:02: -------------END---------------
*ERROR* 	2019/11/12 - 11:42:29: -------------PaymentModule---------------
*ERROR* 	2019/11/12 - 11:42:29: id_cart==>1624
*ERROR* 	2019/11/12 - 11:42:29: id_order_state_pm==>22
*ERROR* 	2019/11/12 - 11:42:29: -------------END---------------
*ERROR* 	2019/11/13 - 19:10:12: -------------PaymentModule---------------
*ERROR* 	2019/11/13 - 19:10:12: -------------PaymentModule---------------
*ERROR* 	2019/11/13 - 19:10:12: id_cart==>1625
*ERROR* 	2019/11/13 - 19:10:12: id_order_state_pm==>22
*ERROR* 	2019/11/13 - 19:10:12: -------------END---------------
*ERROR* 	2019/11/13 - 19:10:12: -------------END---------------
*ERROR* 	2019/12/02 - 11:13:13: -------------PaymentModule---------------
*ERROR* 	2019/12/02 - 11:13:13: id_cart==>1627
*ERROR* 	2019/12/02 - 11:13:13: id_order_state_pm==>22
*ERROR* 	2019/12/02 - 11:13:13: -------------END---------------
*ERROR* 	2020/01/24 - 15:06:59: -------------PaymentModule---------------
*ERROR* 	2020/01/24 - 15:06:59: id_cart==>1628
*ERROR* 	2020/01/24 - 15:06:59: id_order_state_pm==>22
*ERROR* 	2020/01/24 - 15:06:59: -------------END---------------
*ERROR* 	2020/01/24 - 15:07:18: -------------PaymentModule---------------
*ERROR* 	2020/01/24 - 15:07:18: id_cart==>1629
*ERROR* 	2020/01/24 - 15:07:18: id_order_state_pm==>22
*ERROR* 	2020/01/24 - 15:07:18: -------------END---------------
*ERROR* 	2020/01/24 - 17:26:54: -------------PaymentModule---------------
*ERROR* 	2020/01/24 - 17:26:54: id_cart==>1630
*ERROR* 	2020/01/24 - 17:26:54: id_order_state_pm==>22
*ERROR* 	2020/01/24 - 17:26:54: -------------END---------------
*ERROR* 	2020/01/28 - 01:54:04: -------------PaymentModule---------------
*ERROR* 	2020/01/28 - 01:54:04: id_cart==>1631
*ERROR* 	2020/01/28 - 01:54:04: id_order_state_pm==>22
*ERROR* 	2020/01/28 - 01:54:04: -------------END---------------
*ERROR* 	2020/01/28 - 01:54:19: -------------PaymentModule---------------
*ERROR* 	2020/01/28 - 01:54:19: id_cart==>1632
*ERROR* 	2020/01/28 - 01:54:19: id_order_state_pm==>22
*ERROR* 	2020/01/28 - 01:54:19: -------------END---------------
